"year","variable","value"
1839,"Vaasa",1
1840,"Vaasa",1
1841,"Vaasa",1
1842,"Vaasa",1
1843,"Vaasa",1
1844,"Vaasa",1
1845,"Vaasa",1
1846,"Vaasa",1
1847,"Vaasa",2
1848,"Vaasa",1
1849,"Vaasa",1
1850,"Vaasa",1
1851,"Vaasa",1
1852,"Vaasa",1
1853,"Vaasa",1
1854,"Vaasa",1
1855,"Vaasa",1
1856,"Vaasa",1
1857,"Vaasa",1
1858,"Vaasa",1
1859,"Vaasa",1
1860,"Vaasa",1
1861,"Vaasa",1
1862,"Vaasa",1
1863,"Vaasa",1
1864,"Vaasa",2
1865,"Vaasa",2
1866,"Vaasa",2
1867,"Vaasa",2
1868,"Vaasa",2
1869,"Vaasa",2
1870,"Vaasa",2
1871,"Vaasa",2
1872,"Vaasa",2
1873,"Vaasa",2
1874,"Vaasa",2
1875,"Vaasa",2
1876,"Vaasa",2
1877,"Vaasa",2
1878,"Vaasa",3
1879,"Vaasa",2
1880,"Vaasa",4
1881,"Vaasa",5
1882,"Vaasa",3
1883,"Vaasa",4
1884,"Vaasa",4
1885,"Vaasa",4
1886,"Vaasa",4
1887,"Vaasa",4
1888,"Vaasa",3
1889,"Vaasa",4
1890,"Vaasa",4
1891,"Vaasa",4
1892,"Vaasa",4
1893,"Vaasa",4
1894,"Vaasa",4
1895,"Vaasa",5
1896,"Vaasa",5
1897,"Vaasa",5
1898,"Vaasa",6
1899,"Vaasa",5
1900,"Vaasa",4
1901,"Vaasa",3
1902,"Vaasa",3
1903,"Vaasa",3
1904,"Vaasa",4
1905,"Vaasa",4
1906,"Vaasa",5
1907,"Vaasa",5
1908,"Vaasa",6
1909,"Vaasa",7
1910,"Vaasa",7
1911,"Vaasa",7
1912,"Vaasa",8
1913,"Vaasa",7
1914,"Vaasa",7
1915,"Vaasa",7
1916,"Vaasa",5
1917,"Vaasa",5
1918,"Vaasa",10
1919,"Vaasa",5
1920,"Vaasa",6
1897,"Kemi",1
1898,"Kemi",1
1899,"Kemi",1
1900,"Kemi",1
1901,"Kemi",1
1902,"Kemi",1
1903,"Kemi",1
1904,"Kemi",1
1905,"Kemi",2
1906,"Kemi",2
1907,"Kemi",2
1908,"Kemi",2
1909,"Kemi",2
1910,"Kemi",1
1911,"Kemi",1
1912,"Kemi",1
1913,"Kemi",1
1914,"Kemi",1
1915,"Kemi",2
1916,"Kemi",2
1917,"Kemi",2
1918,"Kemi",2
1919,"Kemi",2
1920,"Kemi",2
1889,"Raahe",1
1890,"Raahe",1
1896,"Raahe",1
1897,"Raahe",1
1898,"Raahe",1
1899,"Raahe",1
1900,"Raahe",1
1901,"Raahe",1
1902,"Raahe",1
1903,"Raahe",1
1904,"Raahe",1
1905,"Raahe",1
1906,"Raahe",2
1907,"Raahe",2
1908,"Raahe",2
1909,"Raahe",2
1910,"Raahe",2
1911,"Raahe",2
1912,"Raahe",2
1913,"Raahe",2
1914,"Raahe",2
1915,"Raahe",2
1916,"Raahe",2
1917,"Raahe",2
1918,"Raahe",2
1919,"Raahe",1
1920,"Raahe",1
1884,"Kokkola",1
1885,"Kokkola",1
1886,"Kokkola",1
1887,"Kokkola",1
1894,"Kokkola",1
1895,"Kokkola",2
1896,"Kokkola",1
1897,"Kokkola",2
1898,"Kokkola",3
1899,"Kokkola",2
1900,"Kokkola",2
1901,"Kokkola",2
1902,"Kokkola",2
1903,"Kokkola",2
1904,"Kokkola",2
1905,"Kokkola",3
1906,"Kokkola",3
1907,"Kokkola",3
1908,"Kokkola",3
1909,"Kokkola",4
1910,"Kokkola",4
1911,"Kokkola",4
1912,"Kokkola",2
1913,"Kokkola",2
1914,"Kokkola",2
1915,"Kokkola",3
1916,"Kokkola",3
1917,"Kokkola",4
1918,"Kokkola",3
1919,"Kokkola",3
1920,"Kokkola",3
1890,"Uusikaupunki",2
1891,"Uusikaupunki",1
1892,"Uusikaupunki",1
1893,"Uusikaupunki",1
1894,"Uusikaupunki",1
1895,"Uusikaupunki",2
1896,"Uusikaupunki",2
1897,"Uusikaupunki",1
1898,"Uusikaupunki",1
1899,"Uusikaupunki",1
1900,"Uusikaupunki",1
1901,"Uusikaupunki",1
1902,"Uusikaupunki",1
1903,"Uusikaupunki",1
1904,"Uusikaupunki",1
1905,"Uusikaupunki",1
1906,"Uusikaupunki",1
1907,"Uusikaupunki",1
1908,"Uusikaupunki",2
1909,"Uusikaupunki",2
1910,"Uusikaupunki",2
1911,"Uusikaupunki",2
1912,"Uusikaupunki",2
1913,"Uusikaupunki",2
1914,"Uusikaupunki",2
1915,"Uusikaupunki",2
1916,"Uusikaupunki",2
1917,"Uusikaupunki",2
1918,"Uusikaupunki",2
1919,"Uusikaupunki",2
1920,"Uusikaupunki",2
1920,"Hyvinkää",1
1860,"Pori",2
1861,"Pori",2
1862,"Pori",2
1863,"Pori",2
1864,"Pori",2
1865,"Pori",2
1866,"Pori",1
1867,"Pori",1
1868,"Pori",1
1869,"Pori",1
1870,"Pori",1
1871,"Pori",1
1872,"Pori",2
1873,"Pori",3
1874,"Pori",2
1875,"Pori",2
1876,"Pori",2
1877,"Pori",3
1878,"Pori",3
1879,"Pori",3
1880,"Pori",2
1881,"Pori",2
1882,"Pori",2
1883,"Pori",2
1884,"Pori",2
1885,"Pori",2
1886,"Pori",3
1887,"Pori",3
1888,"Pori",4
1889,"Pori",4
1890,"Pori",4
1891,"Pori",4
1892,"Pori",5
1893,"Pori",4
1894,"Pori",4
1895,"Pori",4
1896,"Pori",4
1897,"Pori",3
1898,"Pori",3
1899,"Pori",3
1900,"Pori",3
1901,"Pori",3
1902,"Pori",3
1903,"Pori",3
1904,"Pori",3
1905,"Pori",3
1906,"Pori",6
1907,"Pori",5
1908,"Pori",5
1909,"Pori",5
1910,"Pori",5
1911,"Pori",5
1912,"Pori",5
1913,"Pori",4
1914,"Pori",4
1915,"Pori",4
1916,"Pori",4
1917,"Pori",5
1918,"Pori",3
1919,"Pori",4
1920,"Pori",4
1837,"Porvoo",1
1838,"Porvoo",1
1839,"Porvoo",1
1840,"Porvoo",1
1841,"Porvoo",1
1842,"Porvoo",1
1843,"Porvoo",1
1844,"Porvoo",1
1845,"Porvoo",1
1846,"Porvoo",1
1847,"Porvoo",1
1848,"Porvoo",1
1849,"Porvoo",1
1850,"Porvoo",1
1851,"Porvoo",1
1852,"Porvoo",1
1853,"Porvoo",1
1854,"Porvoo",1
1855,"Porvoo",1
1856,"Porvoo",1
1857,"Porvoo",1
1858,"Porvoo",1
1860,"Porvoo",1
1861,"Porvoo",1
1862,"Porvoo",1
1863,"Porvoo",1
1864,"Porvoo",1
1865,"Porvoo",1
1866,"Porvoo",1
1867,"Porvoo",1
1868,"Porvoo",1
1869,"Porvoo",1
1870,"Porvoo",1
1871,"Porvoo",1
1872,"Porvoo",1
1873,"Porvoo",1
1874,"Porvoo",1
1875,"Porvoo",1
1876,"Porvoo",1
1877,"Porvoo",1
1878,"Porvoo",1
1879,"Porvoo",1
1880,"Porvoo",1
1881,"Porvoo",1
1882,"Porvoo",1
1883,"Porvoo",1
1884,"Porvoo",1
1885,"Porvoo",1
1886,"Porvoo",1
1887,"Porvoo",1
1888,"Porvoo",1
1889,"Porvoo",1
1890,"Porvoo",1
1891,"Porvoo",1
1892,"Porvoo",2
1893,"Porvoo",2
1894,"Porvoo",3
1895,"Porvoo",3
1896,"Porvoo",3
1897,"Porvoo",3
1898,"Porvoo",3
1899,"Porvoo",3
1900,"Porvoo",3
1901,"Porvoo",3
1902,"Porvoo",2
1903,"Porvoo",2
1904,"Porvoo",2
1905,"Porvoo",2
1906,"Porvoo",3
1907,"Porvoo",3
1908,"Porvoo",3
1909,"Porvoo",3
1910,"Porvoo",3
1911,"Porvoo",3
1912,"Porvoo",3
1913,"Porvoo",3
1914,"Porvoo",3
1915,"Porvoo",3
1916,"Porvoo",3
1917,"Porvoo",2
1918,"Porvoo",3
1919,"Porvoo",2
1920,"Porvoo",2
1820,"Helsinki",1
1821,"Helsinki",1
1822,"Helsinki",1
1823,"Helsinki",1
1824,"Helsinki",1
1825,"Helsinki",1
1826,"Helsinki",1
1827,"Helsinki",1
1828,"Helsinki",1
1829,"Helsinki",3
1830,"Helsinki",3
1831,"Helsinki",3
1832,"Helsinki",3
1833,"Helsinki",3
1834,"Helsinki",3
1835,"Helsinki",3
1836,"Helsinki",3
1837,"Helsinki",3
1838,"Helsinki",3
1839,"Helsinki",3
1840,"Helsinki",3
1841,"Helsinki",3
1842,"Helsinki",3
1843,"Helsinki",4
1844,"Helsinki",3
1845,"Helsinki",3
1846,"Helsinki",4
1847,"Helsinki",5
1848,"Helsinki",5
1849,"Helsinki",5
1850,"Helsinki",4
1851,"Helsinki",4
1852,"Helsinki",4
1853,"Helsinki",5
1854,"Helsinki",5
1855,"Helsinki",5
1856,"Helsinki",4
1857,"Helsinki",4
1858,"Helsinki",5
1859,"Helsinki",5
1860,"Helsinki",5
1861,"Helsinki",8
1862,"Helsinki",7
1863,"Helsinki",9
1864,"Helsinki",10
1865,"Helsinki",9
1866,"Helsinki",8
1867,"Helsinki",6
1868,"Helsinki",5
1869,"Helsinki",6
1870,"Helsinki",8
1871,"Helsinki",9
1872,"Helsinki",9
1873,"Helsinki",8
1874,"Helsinki",9
1875,"Helsinki",8
1876,"Helsinki",9
1877,"Helsinki",8
1878,"Helsinki",8
1879,"Helsinki",8
1880,"Helsinki",8
1881,"Helsinki",10
1882,"Helsinki",11
1883,"Helsinki",10
1884,"Helsinki",10
1885,"Helsinki",9
1886,"Helsinki",11
1887,"Helsinki",11
1888,"Helsinki",12
1889,"Helsinki",12
1890,"Helsinki",9
1891,"Helsinki",9
1892,"Helsinki",11
1893,"Helsinki",10
1894,"Helsinki",8
1895,"Helsinki",10
1896,"Helsinki",9
1897,"Helsinki",11
1898,"Helsinki",12
1899,"Helsinki",12
1900,"Helsinki",15
1901,"Helsinki",13
1902,"Helsinki",12
1903,"Helsinki",12
1904,"Helsinki",13
1905,"Helsinki",16
1906,"Helsinki",19
1907,"Helsinki",22
1908,"Helsinki",20
1909,"Helsinki",17
1910,"Helsinki",20
1911,"Helsinki",17
1912,"Helsinki",18
1913,"Helsinki",17
1914,"Helsinki",16
1915,"Helsinki",13
1916,"Helsinki",13
1917,"Helsinki",23
1918,"Helsinki",27
1919,"Helsinki",20
1920,"Helsinki",16
1890,"Heinola",1
1891,"Heinola",1
1892,"Heinola",1
1893,"Heinola",1
1894,"Heinola",1
1895,"Heinola",1
1896,"Heinola",1
1897,"Heinola",1
1898,"Heinola",1
1899,"Heinola",1
1900,"Heinola",1
1901,"Heinola",1
1904,"Heinola",1
1905,"Heinola",2
1906,"Heinola",2
1907,"Heinola",2
1908,"Heinola",1
1909,"Heinola",1
1910,"Heinola",1
1911,"Heinola",1
1912,"Heinola",3
1913,"Heinola",2
1914,"Heinola",2
1915,"Heinola",2
1916,"Heinola",2
1917,"Heinola",2
1918,"Heinola",3
1919,"Heinola",1
1920,"Heinola",1
1874,"Joensuu",1
1875,"Joensuu",1
1876,"Joensuu",1
1877,"Joensuu",1
1878,"Joensuu",1
1879,"Joensuu",1
1880,"Joensuu",1
1881,"Joensuu",1
1882,"Joensuu",1
1883,"Joensuu",1
1884,"Joensuu",1
1885,"Joensuu",1
1886,"Joensuu",1
1887,"Joensuu",1
1888,"Joensuu",1
1889,"Joensuu",1
1890,"Joensuu",1
1891,"Joensuu",1
1892,"Joensuu",1
1893,"Joensuu",1
1894,"Joensuu",1
1895,"Joensuu",1
1896,"Joensuu",1
1897,"Joensuu",1
1898,"Joensuu",1
1899,"Joensuu",2
1900,"Joensuu",2
1901,"Joensuu",2
1902,"Joensuu",2
1903,"Joensuu",2
1904,"Joensuu",2
1905,"Joensuu",2
1906,"Joensuu",3
1907,"Joensuu",2
1908,"Joensuu",2
1909,"Joensuu",2
1910,"Joensuu",2
1911,"Joensuu",2
1912,"Joensuu",2
1913,"Joensuu",2
1914,"Joensuu",2
1915,"Joensuu",2
1916,"Joensuu",2
1917,"Joensuu",2
1918,"Joensuu",4
1919,"Joensuu",4
1920,"Joensuu",4
1844,"Kuopio",1
1845,"Kuopio",1
1846,"Kuopio",1
1851,"Kuopio",1
1852,"Kuopio",1
1853,"Kuopio",1
1854,"Kuopio",2
1855,"Kuopio",2
1856,"Kuopio",2
1857,"Kuopio",1
1858,"Kuopio",1
1859,"Kuopio",2
1860,"Kuopio",1
1861,"Kuopio",1
1862,"Kuopio",1
1863,"Kuopio",1
1864,"Kuopio",1
1865,"Kuopio",1
1866,"Kuopio",1
1867,"Kuopio",1
1868,"Kuopio",1
1869,"Kuopio",1
1870,"Kuopio",1
1871,"Kuopio",1
1872,"Kuopio",1
1873,"Kuopio",1
1874,"Kuopio",1
1875,"Kuopio",1
1876,"Kuopio",1
1877,"Kuopio",1
1878,"Kuopio",2
1879,"Kuopio",2
1880,"Kuopio",3
1881,"Kuopio",3
1882,"Kuopio",3
1883,"Kuopio",2
1884,"Kuopio",2
1885,"Kuopio",2
1886,"Kuopio",2
1887,"Kuopio",2
1888,"Kuopio",3
1889,"Kuopio",2
1890,"Kuopio",2
1891,"Kuopio",5
1892,"Kuopio",2
1893,"Kuopio",2
1894,"Kuopio",2
1895,"Kuopio",2
1896,"Kuopio",2
1897,"Kuopio",2
1898,"Kuopio",2
1899,"Kuopio",2
1900,"Kuopio",2
1901,"Kuopio",3
1902,"Kuopio",2
1903,"Kuopio",3
1904,"Kuopio",2
1905,"Kuopio",2
1906,"Kuopio",4
1907,"Kuopio",5
1908,"Kuopio",4
1909,"Kuopio",5
1910,"Kuopio",4
1911,"Kuopio",5
1912,"Kuopio",5
1913,"Kuopio",4
1914,"Kuopio",4
1915,"Kuopio",3
1916,"Kuopio",4
1917,"Kuopio",5
1918,"Kuopio",7
1919,"Kuopio",10
1920,"Kuopio",10
1881,"Tammisaari",1
1882,"Tammisaari",1
1883,"Tammisaari",1
1884,"Tammisaari",1
1885,"Tammisaari",1
1886,"Tammisaari",1
1887,"Tammisaari",1
1888,"Tammisaari",1
1889,"Tammisaari",1
1890,"Tammisaari",1
1891,"Tammisaari",1
1892,"Tammisaari",2
1893,"Tammisaari",2
1894,"Tammisaari",1
1895,"Tammisaari",1
1896,"Tammisaari",1
1897,"Tammisaari",1
1898,"Tammisaari",1
1899,"Tammisaari",1
1900,"Tammisaari",1
1901,"Tammisaari",1
1902,"Tammisaari",1
1903,"Tammisaari",1
1904,"Tammisaari",1
1905,"Tammisaari",1
1906,"Tammisaari",1
1907,"Tammisaari",1
1908,"Tammisaari",1
1909,"Tammisaari",1
1910,"Tammisaari",1
1911,"Tammisaari",1
1912,"Tammisaari",1
1913,"Tammisaari",1
1914,"Tammisaari",1
1915,"Tammisaari",1
1916,"Tammisaari",1
1917,"Tammisaari",1
1918,"Tammisaari",1
1919,"Tammisaari",1
1920,"Tammisaari",1
1889,"Käkisalmi",1
1890,"Käkisalmi",1
1891,"Käkisalmi",1
1892,"Käkisalmi",1
1893,"Käkisalmi",1
1894,"Käkisalmi",1
1895,"Käkisalmi",1
1896,"Käkisalmi",2
1897,"Käkisalmi",2
1898,"Käkisalmi",2
1899,"Käkisalmi",2
1900,"Käkisalmi",2
1901,"Käkisalmi",2
1902,"Käkisalmi",1
1903,"Käkisalmi",1
1904,"Käkisalmi",1
1905,"Käkisalmi",1
1906,"Käkisalmi",2
1907,"Käkisalmi",2
1908,"Käkisalmi",2
1909,"Käkisalmi",2
1910,"Käkisalmi",2
1911,"Käkisalmi",2
1912,"Käkisalmi",2
1913,"Käkisalmi",2
1914,"Käkisalmi",2
1915,"Käkisalmi",2
1916,"Käkisalmi",2
1917,"Käkisalmi",1
1918,"Käkisalmi",1
1919,"Käkisalmi",1
1920,"Käkisalmi",1
1898,"Pietarsaari",1
1899,"Pietarsaari",1
1900,"Pietarsaari",1
1901,"Pietarsaari",1
1902,"Pietarsaari",1
1903,"Pietarsaari",1
1904,"Pietarsaari",1
1905,"Pietarsaari",2
1906,"Pietarsaari",1
1907,"Pietarsaari",1
1908,"Pietarsaari",1
1909,"Pietarsaari",1
1910,"Pietarsaari",1
1911,"Pietarsaari",1
1912,"Pietarsaari",1
1913,"Pietarsaari",1
1914,"Pietarsaari",1
1915,"Pietarsaari",2
1916,"Pietarsaari",1
1917,"Pietarsaari",1
1918,"Pietarsaari",1
1919,"Pietarsaari",1
1920,"Pietarsaari",1
1867,"Jyväskylä",1
1868,"Jyväskylä",1
1869,"Jyväskylä",1
1870,"Jyväskylä",1
1871,"Jyväskylä",1
1872,"Jyväskylä",1
1873,"Jyväskylä",1
1874,"Jyväskylä",1
1875,"Jyväskylä",1
1876,"Jyväskylä",1
1877,"Jyväskylä",2
1878,"Jyväskylä",2
1879,"Jyväskylä",2
1880,"Jyväskylä",2
1881,"Jyväskylä",2
1882,"Jyväskylä",2
1883,"Jyväskylä",1
1884,"Jyväskylä",1
1885,"Jyväskylä",1
1886,"Jyväskylä",1
1887,"Jyväskylä",1
1888,"Jyväskylä",2
1889,"Jyväskylä",2
1890,"Jyväskylä",2
1891,"Jyväskylä",2
1892,"Jyväskylä",2
1893,"Jyväskylä",2
1894,"Jyväskylä",2
1895,"Jyväskylä",2
1896,"Jyväskylä",2
1897,"Jyväskylä",2
1898,"Jyväskylä",2
1899,"Jyväskylä",2
1900,"Jyväskylä",2
1901,"Jyväskylä",2
1902,"Jyväskylä",2
1903,"Jyväskylä",2
1904,"Jyväskylä",2
1905,"Jyväskylä",2
1906,"Jyväskylä",3
1907,"Jyväskylä",4
1908,"Jyväskylä",5
1909,"Jyväskylä",3
1910,"Jyväskylä",4
1911,"Jyväskylä",4
1912,"Jyväskylä",4
1913,"Jyväskylä",4
1914,"Jyväskylä",3
1915,"Jyväskylä",3
1916,"Jyväskylä",3
1917,"Jyväskylä",5
1918,"Jyväskylä",3
1919,"Jyväskylä",3
1920,"Jyväskylä",3
1904,"Forssa",1
1905,"Forssa",1
1906,"Forssa",2
1907,"Forssa",3
1908,"Forssa",1
1909,"Forssa",1
1917,"Forssa",1
1918,"Forssa",1
1919,"Forssa",1
1920,"Forssa",1
1885,"Lappeenranta",1
1886,"Lappeenranta",1
1887,"Lappeenranta",1
1888,"Lappeenranta",1
1889,"Lappeenranta",1
1890,"Lappeenranta",1
1891,"Lappeenranta",1
1892,"Lappeenranta",1
1893,"Lappeenranta",1
1894,"Lappeenranta",2
1895,"Lappeenranta",2
1896,"Lappeenranta",2
1897,"Lappeenranta",2
1898,"Lappeenranta",2
1899,"Lappeenranta",1
1900,"Lappeenranta",1
1901,"Lappeenranta",1
1902,"Lappeenranta",1
1903,"Lappeenranta",1
1904,"Lappeenranta",1
1905,"Lappeenranta",1
1906,"Lappeenranta",2
1907,"Lappeenranta",3
1908,"Lappeenranta",3
1909,"Lappeenranta",3
1910,"Lappeenranta",3
1911,"Lappeenranta",3
1912,"Lappeenranta",3
1913,"Lappeenranta",3
1914,"Lappeenranta",4
1915,"Lappeenranta",3
1916,"Lappeenranta",3
1917,"Lappeenranta",4
1918,"Lappeenranta",3
1919,"Lappeenranta",2
1920,"Lappeenranta",2
1890,"Hanko",1
1891,"Hanko",1
1892,"Hanko",1
1893,"Hanko",1
1894,"Hanko",1
1895,"Hanko",1
1896,"Hanko",1
1897,"Hanko",1
1898,"Hanko",1
1899,"Hanko",1
1900,"Hanko",1
1901,"Hanko",1
1902,"Hanko",1
1903,"Hanko",1
1904,"Hanko",1
1905,"Hanko",1
1906,"Hanko",1
1907,"Hanko",1
1908,"Hanko",2
1909,"Hanko",2
1910,"Hanko",2
1911,"Hanko",2
1912,"Hanko",2
1913,"Hanko",3
1914,"Hanko",5
1915,"Hanko",4
1916,"Hanko",3
1917,"Hanko",3
1918,"Hanko",2
1919,"Hanko",2
1920,"Hanko",2
1821,"Viipuri",1
1823,"Viipuri",1
1824,"Viipuri",1
1825,"Viipuri",1
1826,"Viipuri",1
1827,"Viipuri",1
1828,"Viipuri",1
1829,"Viipuri",1
1830,"Viipuri",1
1831,"Viipuri",1
1832,"Viipuri",1
1833,"Viipuri",1
1834,"Viipuri",1
1835,"Viipuri",1
1836,"Viipuri",1
1837,"Viipuri",2
1838,"Viipuri",2
1839,"Viipuri",2
1840,"Viipuri",2
1841,"Viipuri",2
1842,"Viipuri",1
1843,"Viipuri",1
1844,"Viipuri",1
1845,"Viipuri",2
1846,"Viipuri",2
1847,"Viipuri",2
1848,"Viipuri",1
1849,"Viipuri",1
1854,"Viipuri",1
1855,"Viipuri",3
1856,"Viipuri",2
1857,"Viipuri",2
1858,"Viipuri",2
1859,"Viipuri",1
1860,"Viipuri",2
1861,"Viipuri",2
1862,"Viipuri",1
1863,"Viipuri",1
1864,"Viipuri",1
1865,"Viipuri",1
1866,"Viipuri",2
1867,"Viipuri",2
1868,"Viipuri",2
1869,"Viipuri",2
1870,"Viipuri",2
1871,"Viipuri",2
1872,"Viipuri",3
1873,"Viipuri",2
1874,"Viipuri",3
1875,"Viipuri",3
1876,"Viipuri",3
1877,"Viipuri",3
1878,"Viipuri",3
1879,"Viipuri",3
1880,"Viipuri",3
1881,"Viipuri",3
1882,"Viipuri",3
1883,"Viipuri",3
1884,"Viipuri",4
1885,"Viipuri",4
1886,"Viipuri",4
1887,"Viipuri",5
1888,"Viipuri",5
1889,"Viipuri",3
1890,"Viipuri",3
1891,"Viipuri",3
1892,"Viipuri",3
1893,"Viipuri",4
1894,"Viipuri",4
1895,"Viipuri",4
1896,"Viipuri",4
1897,"Viipuri",4
1898,"Viipuri",4
1899,"Viipuri",5
1900,"Viipuri",4
1901,"Viipuri",5
1902,"Viipuri",3
1903,"Viipuri",4
1904,"Viipuri",5
1905,"Viipuri",7
1906,"Viipuri",7
1907,"Viipuri",6
1908,"Viipuri",7
1909,"Viipuri",7
1910,"Viipuri",7
1911,"Viipuri",6
1912,"Viipuri",7
1913,"Viipuri",7
1914,"Viipuri",7
1915,"Viipuri",8
1916,"Viipuri",8
1917,"Viipuri",8
1918,"Viipuri",9
1919,"Viipuri",6
1920,"Viipuri",5
1895,"Hämeenkyrö",2
1896,"Hämeenkyrö",1
1897,"Hämeenkyrö",1
1916,"Hämeenkyrö",1
1917,"Hämeenkyrö",1
1918,"Hämeenkyrö",1
1919,"Hämeenkyrö",1
1920,"Hämeenkyrö",1
1866,"Tampere",1
1867,"Tampere",1
1868,"Tampere",1
1869,"Tampere",1
1870,"Tampere",1
1871,"Tampere",1
1872,"Tampere",1
1873,"Tampere",1
1874,"Tampere",1
1875,"Tampere",1
1876,"Tampere",1
1877,"Tampere",1
1878,"Tampere",1
1879,"Tampere",2
1880,"Tampere",2
1881,"Tampere",3
1882,"Tampere",4
1883,"Tampere",4
1884,"Tampere",4
1885,"Tampere",4
1886,"Tampere",3
1887,"Tampere",3
1888,"Tampere",4
1889,"Tampere",4
1890,"Tampere",6
1891,"Tampere",5
1892,"Tampere",4
1893,"Tampere",4
1894,"Tampere",5
1895,"Tampere",4
1896,"Tampere",5
1897,"Tampere",5
1898,"Tampere",6
1899,"Tampere",8
1900,"Tampere",6
1901,"Tampere",5
1902,"Tampere",5
1903,"Tampere",5
1904,"Tampere",6
1905,"Tampere",6
1906,"Tampere",6
1907,"Tampere",6
1908,"Tampere",6
1909,"Tampere",6
1910,"Tampere",6
1911,"Tampere",7
1912,"Tampere",7
1913,"Tampere",6
1914,"Tampere",7
1915,"Tampere",6
1916,"Tampere",8
1917,"Tampere",5
1918,"Tampere",5
1919,"Tampere",5
1920,"Tampere",5
1884,"Hamina",1
1885,"Hamina",1
1886,"Hamina",1
1887,"Hamina",1
1888,"Hamina",1
1889,"Hamina",2
1890,"Hamina",2
1891,"Hamina",2
